Date,Close,Open,High,Low,7_day_MA,14_day_MA,30_day_MA,Daily_Change,Volatility
2013-03-19,59.1,51.6,62.0,50.0,49.457142857142856,47.06428571428571,39.01,0.14534883720930236,4.573786594226293
2013-03-20,64.5,59.1,66.0,57.7,51.97142857142857,48.74285714285714,40.26,0.09137055837563457,7.083011197156756
2013-03-21,70.8,64.5,74.9,63.1,55.34285714285714,50.8,41.64,0.0976744186046512,9.602058311087482
2013-03-22,69.9,70.8,73.8,65.0,58.614285714285714,52.63571428571429,42.983333333333334,-0.012711864406779516,10.170124314453043
2013-03-23,64.3,69.9,70.5,52.3,61.08571428571429,53.885714285714286,44.13333333333333,-0.0801144492131618,8.900080256459994
2013-03-24,71.5,64.3,72.5,62.7,64.52857142857144,55.707142857142856,45.50666666666667,0.11197511664074655,7.227889107642797
2013-03-25,73.6,71.5,78.0,69.5,67.67142857142856,57.50714285714286,46.96666666666667,0.029370629370629286,5.155163846641033
2013-03-26,78.5,73.6,79.7,73.1,70.44285714285715,59.95,48.586666666666666,0.06657608695652173,4.991278107144268
2013-03-27,88.9,78.5,89.5,78.4,73.92857142857143,62.95,50.53666666666666,0.132484076433121,7.8504170347216755
2013-03-28,86.2,88.9,95.7,75.0,76.12857142857142,65.7357142857143,52.373333333333335,-0.030371203599550034,8.913419524461323
2013-03-29,90.5,86.2,93.1,83.0,79.07142857142857,68.84285714285714,54.36,0.04988399071925742,9.86419692384442
2013-03-30,92.2,90.5,95.0,87.0,83.05714285714286,72.07142857142857,56.32000000000001,0.01878453038674044,8.433832095170295
2013-03-31,93.0,92.2,93.8,91.0,86.12857142857145,75.32857142857144,58.27,0.008676789587852562,7.371502399039729
2013-04-01,104.0,93.0,106.0,92.2,90.47142857142856,79.07142857142857,60.59333333333334,0.11827956989247301,7.707510252066825
2013-04-02,118.0,104.0,118.4,99.0,96.11428571428571,83.27857142857144,63.37666666666667,0.13461538461538458,11.165785324139229
2013-04-03,135.0,118.0,147.0,110.0,102.70000000000002,88.31428571428572,66.67,0.14406779661016955,17.816191138025772
