Date,Close,Predicted,% Difference
2024-06-01,67760.8,67188.625,-0.8444041392663647
2024-06-02,67773.5,67219.305,-0.8177168251602764
2024-06-03,68807.8,66857.7,-2.834121821944609
2024-06-04,70549.2,67031.13,-4.986686153067643
2024-06-05,71083.7,67127.01,-5.566244001789436
2024-06-06,70791.5,67120.734,-5.185319741776908
2024-06-07,69347.9,67561.53,-2.575952191775085
2024-06-08,69310.1,68782.76,-0.7608446496253876
2024-06-09,69650.6,68856.76,-1.1397492448019195
2024-06-10,69538.2,68458.04,-1.5533346239908383
2024-06-11,67319.8,66695.93,-0.9267263308863112
2024-06-12,68260.1,66317.98,-2.8451810611177035
2024-06-13,66773.1,64806.57,-2.9450926907691954
2024-06-14,66034.8,64280.617,-2.656452071483525
2024-06-15,66223.0,63019.65,-4.837219036437491
2024-06-16,66674.7,63368.945,-4.958034588082132
2024-06-17,66498.8,63191.266,-4.973825655500554
2024-06-18,65626.1,63238.99,-3.6374426009621255
